"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","7,900","7,900","8,500","7,700","3.50M","3.27%"
"Mar 30, 2020","7,350","7,700","7,750","7,350","1.97M","-6.96%"
"Mar 31, 2020","8,100","7,575","8,100","7,350","3.91M","10.20%"
"Apr 01, 2020","8,100","8,000","8,300","7,750","2.05M","0.00%"
"Apr 02, 2020","8,150","7,900","8,200","7,800","904.50K","0.62%"
"Apr 03, 2020","8,225","8,225","8,475","8,150","1.10M","0.92%"
"Apr 06, 2020","8,625","8,250","8,625","8,250","1.39M","4.86%"
"Apr 07, 2020","8,250","8,650","9,000","8,250","2.04M","-4.35%"
"Apr 08, 2020","8,025","8,400","8,475","7,700","2.38M","-2.73%"
"Apr 09, 2020","7,725","8,100","8,100","7,675","1.55M","-3.74%"
"Apr 13, 2020","7,750","7,800","7,825","7,700","1.08M","0.32%"
"Apr 14, 2020","7,975","7,750","8,000","7,725","1.54M","2.90%"
"Apr 15, 2020","7,900","7,975","8,100","7,700","1.42M","-0.94%"
"Apr 16, 2020","7,550","7,900","7,900","7,525","873.40K","-4.43%"
"Apr 17, 2020","7,700","7,650","7,800","7,625","1.11M","1.99%"
"Apr 20, 2020","7,500","7,700","7,800","7,475","1.09M","-2.60%"
"Apr 21, 2020","7,150","7,450","7,450","7,025","1.73M","-4.67%"
"Apr 22, 2020","6,925","7,075","7,075","6,800","1.84M","-3.15%"
"Apr 23, 2020","6,975","6,950","7,150","6,950","1.03M","0.72%"
"Apr 24, 2020","6,900","6,975","7,225","6,825","1.57M","-1.08%"
"Apr 27, 2020","7,100","7,000","7,125","6,900","850.80K","2.90%"
"Apr 28, 2020","6,900","7,100","7,200","6,875","1.38M","-2.82%"
"Apr 29, 2020","6,925","6,925","7,025","6,875","941.60K","0.36%"
"Apr 30, 2020","7,200","6,975","7,300","6,975","2.35M","3.97%"
"May 04, 2020","7,000","7,100","7,225","6,950","846.90K","-2.78%"
"May 05, 2020","7,650","7,200","7,675","7,100","2.99M","9.29%"
"May 06, 2020","7,850","7,700","7,900","7,650","3.29M","2.61%"
"May 08, 2020","7,875","7,825","8,000","7,700","3.28M","0.32%"
"May 11, 2020","7,800","7,950","8,050","7,750","2.37M","-0.95%"
"May 12, 2020","7,700","7,800","8,025","7,700","1.42M","-1.28%"
"May 13, 2020","7,650","7,700","7,800","7,550","755.00K","-0.65%"
"May 14, 2020","7,525","7,525","7,750","7,500","930.70K","-1.63%"
"May 15, 2020","7,400","7,650","7,700","7,300","878.90K","-1.66%"
